Lesson,Front,Back,Example,Translation
e08-l1,etwas zapfen,to tap (beer); to draw,Der Kellner zapft das Bier.,The waiter taps the beer.
e08-l1,innovativ,innovative,Seine Ideen sind sehr innovativ.,His ideas are very innovative.
e08-l1,etwas besitzen,to own something,Er besitzt drei Restaurants in Frankreich.,He owns three restaurants in France.
e08-l1,sich setzen,to sit down,Darf ich mich zu Ihnen setzen?,May I sit down with you?
e08-l1,etwas/jemanden testen,to test something/someone,Ich teste deutsche Gaststätten.,I am testing German restaurants.
e08-l1,aus etwas bestehen,to consist of; to be made up of,Die Mahlzeit besteht aus mehreren Gängen.,The meal consists of several courses.
e08-l1,alkoholfrei,alcohol-free,Ich hätte gern ein alkoholfreies Bier.,I would like an alcohol-free beer.
e08-l1,etwas zu sich nehmen,to partake of something; to take something (refers mostly to food or drink),Ich möchte jetzt etwas zu mir nehmen.,I would like to have something to eat now.
e08-l1,alkoholisch,alcoholic,Dieses Getränk ist alkoholisch.,This drink is alcoholic.
e08-l1,die Serviette,napkin; serviette,Kannst du mir bitte eine Serviette geben?,Can you please give me a napkin?
e08-l1,die Nuss,nut,Sie mag Nüsse im Müsli.,She likes nuts in her muesli.
e08-l1,die Schüssel,bowl,Die Schüssel ist voll mit Salat.,The bowl is full of salad.
e08-l1,der Biergarten,open-air bar,Im Sommer ist der Biergarten sehr beliebt.,"In the summer, the beer garden is very popular."
e08-l2,Hauptspeise,main course,Ich nehme die Roulade als Hauptspeise.," ""I'll take the roulade as a main course."""
e08-l2,Portion,portion,Bitte eine kleine Portion.," ""Please a small portion."""
e08-l2,Honig,honey,Der Honig ist sehr süß.," ""The honey is very sweet."""
e08-l2,Humor,humor,"Sie haben Humor, Inge.","You have humor, Inge."
e08-l2,Islam,Islam,Der Islam ist eine Religion.," ""Islam is a religion."""
e08-l2,Judentum,Judaism,Das Judentum hat viele Traditionen.," ""Judaism has many traditions."""
e08-l2,Kartoffelpüree,mashed potatoes,Ich nehme die Schweineleber mit Sauerkraut und Kartoffelpüree.," ""I'll take the pork liver with sauerkraut and mashed potatoes."""
e08-l2,als etwas/jemand gelten,to be considered as; to be classified as; to pass for,Das gilt als Delikatesse.," ""That is considered a delicacy."""
e08-l2,Nachspeise,dessert,Welche Nachspeise möchten Sie?," ""Which dessert would you like?"""
e08-l2,köstlich,delicious,Das Essen ist köstlich!," ""The food is delicious!"""
e08-l2,Meerschweinchen,guinea pig,Das Meerschweinchen ist ein kleines Haustier.," ""The guinea pig is a small pet."""
e08-l2,Nachtisch,dessert,Als Nachtisch gibt es Kuchen.," ""There is cake for dessert."""
e08-l2,Limette,lime,Gib mir eine Limette für mein Getränk.," ""Give me a lime for my drink."""
e08-l2,akzentfrei Deutsch sprechen,to speak German without an accent,Sie sprechen akzentfrei Deutsch.," ""You speak German without an accent."""
e08-l2,Krokette,croquette,Er hatte gestern das Wiener Schnitzel mit Kroketten.," ""Yesterday he had Wiener Schnitzel with croquettes."""
e08-l2,Kuh,cow,Die Kuh steht auf der Wiese.," ""The cow is standing in the meadow."""
e08-l2,Vanilleeis,vanilla ice cream,Ich möchte ein Vanilleeis.," ""I would like a vanilla ice cream."""
e08-l2,Ziegenkäse,goat cheese,Ich habe noch Appetit auf den kleinen Ziegenkäse.," ""I am still hungry for the small goat cheese."""
e08-l2,Lamm,lamb,Das Lamm schmeckt sehr gut.," ""The lamb tastes very good."""
e08-l2,Frosch,frog,Der Frosch sitzt auf einem Blatt.," ""The frog is sitting on a leaf."""
e08-l2,heilig,sacred; holy,Diese Orte gelten als heilig.," ""These places are considered sacred."""
e08-l2,Region,region,Diese Region ist bekannt für ihren Wein.," ""This region is known for its wine."""
e08-l2,Ameise,ant,Die Ameise läuft über den Tisch.," ""The ant is walking across the table."""
e08-l2,Vorspeise,appetizer; entree,Und ich habe noch Appetit auf den kleinen Ziegenkäse als Vorspeise.," ""And I'm still hungry for the small goat cheese as an appetizer."""
e08-l2,wetten,to bet,Sie wollen wetten?," ""Do you want to bet?"""
e08-l2,Appetit,appetite,Ich habe noch Appetit auf ein Dessert.," ""I still have an appetite for dessert."""
e08-l2,etwas empfehlen,to recommend something,Was können Sie mir empfehlen?," ""What can you recommend to me?"""
e08-l2,vegan,vegan,Sie ernährt sich vegan.," ""She eats a vegan diet."""
e08-l2,unrein,unclean,Einige Tiere gelten als unrein.," ""Some animals are considered unclean."""
e08-l2,Schweineleber,pork liver,Ich nehme die Schweineleber mit Sauerkraut und Kartoffelpüree.," ""I'll take the pork liver with sauerkraut and mashed potatoes."""
e08-l2,Wurstplatte,tray of cold cuts,Und ich nehme die Wurstplatte.," ""And I'll take the tray of cold cuts."""
e08-l2,Delikatesse,delicacy,Diese Schnecken sind eine Delikatesse.," ""These snails are a delicacy."""
e08-l2,Dessert,dessert,Zum Dessert gibt es Vanilleeis.," ""For dessert there is vanilla ice cream."""
e08-l2,Wette,bet,"Ich wette, die Frau bestellt etwas anderes."," ""I bet the woman orders something else."""
e08-l2,Mango,mango,Ich esse gerne Mango.," ""I like to eat mango."""
e08-l2,sich gut anhören,to sound good,Das hört sich gut an.," ""That sounds good."""
e08-l2,Schnecke,snail,Die Schnecke bewegt sich langsam.," ""The snail moves slowly."""
e08-l2,Schlange,snake,Die Schlange kriecht durch den Garten.," ""The snake crawls through the garden."""
e08-l2,Sauerkraut,sauerkraut; pickled cabbage,Ich mag Schweineleber mit Sauerkraut.," ""I like pork liver with sauerkraut."""
e08-l2,Schweinefleisch,pork,Er mag kein Schweinefleisch.," ""He doesn't like pork."""
e08-l2,Rotkraut,red cabbage,Sie aß die Roulade mit Salzkartoffeln und Rotkraut.," ""She ate the roulade with boiled potatoes and red cabbage."""
e08-l3,etwas aussuchen,to choose something,Suchen Sie etwas aus!," ""Choose something!"""
e08-l3,der Champagner,champagne,Bringen Sie uns bitte noch ... zwei Gläser von dem Champagner.," ""Could you please bring us ... two glasses of champagne."""
e08-l3,wunderbar,wonderful,Der Ziegenkäse war köstlich. Wunderbar intensiv.,The goat cheese was delicious. Wonderfully intense.
e08-l3,der Chili,chili pepper,"Das Essen ist scharf, weil es viel Chili enthält."," ""The food is spicy because it contains a lot of chili."""
e08-l3,sauer,sour,Die Zitrone schmeckt sehr sauer.,The lemon tastes very sour.
e08-l3,die Konditorin,confectioner; pastry cook (female),Die Konditorin hat eine wunderschöne Torte gemacht.," ""The female confectioner made a beautiful cake."""
e08-l3,die Konditorei,confectionery; pastry shop,Ich hatte eine eigene Konditorei.," ""I had my own pastry shop."""
e08-l3,salzig,salty,Die Suppe ist mir zu salzig.,The soup is too salty for me.
e08-l3,herzhaft,savory,Ich mag herzhafte Speisen lieber als süße.," ""I prefer savory dishes to sweet ones."""
e08-l3,kritisch,critical; skeptical,"Na ja, Sie sind selbst Koch. Da ist man kritischer.","Well, you are a cook yourself. You are more critical then."
e08-l3,pikant,spicy,Die Soße schmeckt pikant.," ""The sauce tastes spicy."""
e08-l3,die Grapefruit,grapefruit,Ich trinke gerne Grapefruitsaft.," ""I like to drink grapefruit juice."""
e08-l3,trocken,dry,Dieser Wein ist sehr trocken.," ""This wine is very dry."""
e08-l3,der Sekt,sparkling wine,Wir stoßen mit Sekt auf das neue Jahr an.,We toast the new year with sparkling wine.
e08-l3,die Brezel,pretzel,Ich esse gern eine Brezel zum Frühstück.," ""I like to eat a pretzel for breakfast."""
e08-l3,intensiv,intense; acute,Der Ziegenkäse war köstlich. Wunderbar intensiv.,The goat cheese was delicious. Wonderfully intense.
e08-l3,etwas zubereiten,to prepare something,Ich kann ein köstliches Dessert zubereiten.,I can prepare a delicious dessert.
e08-l3,lieblich,sweet,Dieser Wein ist sehr lieblich.," ""This wine is very sweet."""
e08-l3,der Konditor,confectioner; pastry cook (male),"Um ehrlich zu sein, ich bin Konditor.","To be honest, I am a confectioner."
e08-l3,Bringen Sie uns bitte noch ...,Could you please bring us...?,Bringen Sie uns bitte noch zwei Stückchen Zitronenkuchen.," ""Could you please bring us two pieces of lemon cake?"""
e08-l3,Das freut mich sehr.,I'm really happy about that.,"Das freut mich sehr, dass du auch Marmorkuchen magst!",I'm really happy that you like marble cake too!
e08-l3,Das geht aufs Haus!,That's on the house!,Dieser Kaffee geht aufs Haus!," ""This coffee is on the house!"""
e08-l3,Kommt sofort.,Right away.,Kommt sofort.,Right away.
e08-l3,Hat es Ihnen geschmeckt?,Did it taste good?,Hat es Ihnen geschmeckt?," ""Did it taste good?"""
e08-l3,Haben Sie sonst noch einen Wunsch?,Is there something else you'd like?,Haben Sie sonst noch einen Wunsch?,Is there something else you'd like?
e08-l3,bitter,bitter,Die Grapefruit ist bitter.," ""The grapefruit is bitter."""
e08-l3,Haben Sie schon gewählt?,Have you already chosen?,Haben Sie schon gewählt?,Have you already chosen?
e08-l4,neugierig,curious (about),Ich bin sehr neugierig auf deine Geschichte.,I am very curious about your story.
e08-l4,ohne Kommentar,without comment,Sie nahm die Nachricht ohne Kommentar entgegen.,She accepted the news without comment.
e08-l4,optimieren,to optimize,Wir müssen den Prozess optimieren.,We have to optimize the process.
e08-l4,rufen,to call; to call out,"Ich rufe Sie auf diesem Handy an, Inge.","I'll call you on this cell phone, Inge."
e08-l4,Restaurantkette,restaurant chain,Diese Restaurantkette hat viele Filialen in der ganzen Stadt.,This restaurant chain has many branches throughout the city.
e08-l4,Gastronomiemanagerin,restaurant manager (female),Die Gastronomiemanagerin ist für die Organisation des Restaurants zuständig.,The restaurant manager is responsible for the organization of the restaurant.
e08-l4,Gastronomiemanager,restaurant manager (male),Der Gastronomiemanager plant die Menüs und koordiniert den Service.,The restaurant manager plans the menus and coordinates the service.
e08-l4,selbstverständlich,obviously; naturally,Selbstverständlich lade ich Sie ein!,"Naturally, I will treat you!"
e08-l4,Gastronomie,gastronomy,Die Gastronomie hat sich in den letzten Jahren stark verändert.,Gastronomy has changed a lot in recent years.
e08-l4,Fachmann,specialist (male),Er ist ein Fachmann für Computerreparaturen.,He is a specialist for computer repairs.
e08-l4,Fachfrau,specialist (female),Sie ist eine Fachfrau auf diesem Gebiet.,She is a specialist in this field.
e08-l4,schließlich,eventually; finally,Später durfte ich dann selber kochen und backen und habe schließlich eine Ausbildung zum Konditor gemacht.,"Later I was allowed to cook and bake myself, and eventually I trained as a pastry chef."
e08-l4,Gesellschaft,society; company,Auf gute Gesellschaft und gutes Essen!,To good company and good food!
e08-l4,Kasse,checkout; cash register,Bitte zahlen Sie an der Kasse.,Please pay at the checkout.
e08-l4,ein|laden,to treat someone,Ich lade Sie natürlich ein.,I'm naturally treating you.
e08-l4,flexibel,flexible,Meine Arbeitszeiten sind sehr flexibel.,My working hours are very flexible.
e08-l4,Restaurantkritikerin,restaurant critic (female),Die Restaurantkritikerin bewertet das Essen und den Service.,The restaurant critic evaluates the food and the service.
e08-l4,Restaurantkritiker,restaurant critic (male),Der Restaurantkritiker schreibt Artikel über neue Restaurants.,The restaurant critic writes articles about new restaurants.
e08-l4,Tagesablauf,daily agenda,Mein Tagesablauf ist sehr abwechslungsreich.,My daily routine is very varied.
e08-l4,Restaurantbesitzerin,restaurant owner (female),Die Restaurantbesitzerin hat das Restaurant von ihren Eltern übernommen.,The restaurant owner took over the restaurant from her parents.
e08-l4,Restaurantbesitzer,restaurant owner (male),Der Restaurantbesitzer ist sehr stolz auf sein Lokal.,The restaurant owner is very proud of his restaurant.
e08-l4,Qualität,quality,Die Qualität des Essens ist sehr gut.,The quality of the food is very good.
e08-l4,bedienen,to serve somebody,Der Kellner hat uns sehr freundlich bedient.,The waiter served us very kindly.
e08-l4,Nachtschicht,night shift,Sie arbeitet oft in der Nachtschicht.,She often works the night shift.
e08-l4,Logo,logo,Das neue Logo gefällt mir sehr gut.,I like the new logo very much.
e08-l4,Küchenhilfe,kitchen assistant,Die Küchenhilfe spült das Geschirr.,The kitchen assistant washes the dishes.
e08-l4,knallig,loud; brash,Die Farben des Logos sind sehr knallig.,The colors of the logo are very bright.
e08-l4,auf|runden,to round up something,Wir müssen den Betrag aufrunden.,We have to round up the amount.
e08-l4,koordinieren,to coordinate something,Sie muss alle Termine koordinieren.,She has to coordinate all appointments.
e08-l4,kritisieren,to criticize (something/someone),"Ich denke, irgendwann wollte ich dann nicht mehr kritisieren.","I think, eventually I didn’t want to criticize anymore."
e08-l4,Kritik,criticism; critique,Seine Kritik war sehr hilfreich.,His criticism was very helpful.
e08-l4,Magen,stomach,Ich habe Bauchschmerzen und mein Magen ist unruhig.,I have stomach pain and my stomach is upset.
e08-l4,üblich,usual,"Es ist üblich, dass man in Deutschland Trinkgeld gibt.",It is usual to tip in Germany.
e08-l4,Service,service,Der Service in diesem Restaurant ist ausgezeichnet.,The service in this restaurant is excellent.
e09-l1,Unter den Blinden ist der Einäugige König.,In the country of the blind the one-eyed man is king.,Unter den Blinden ist der Einäugige König.," ""In the country of the blind the one-eyed man is king."""
e09-l1,das Model,model,Ich möchte ein Model werden.,I want to become a model.
e09-l1,einäugig,one-eyed,Unter den Blinden ist der Einäugige König.," ""In the country of the blind the one-eyed man is king."""
e09-l1,blind,blind,Unter den Blinden ist der Einäugige König.," ""In the country of the blind the one-eyed man is king."""
e09-l1,etwas einpacken,to pack; to wrap up,Ich muss noch meine Geschenke einpacken.,I still need to wrap my presents.
e09-l1,die Idee,idea,Hast du schon Ideen für die Fotos?," ""Do you already have ideas for the photos?"""
e09-l1,ein dickes Fell haben,to be thick-skinned (literal: to have thick fur),ein dickes Fell haben“," ""to be thick-skinned"""
e09-l1,Karten spielen,to play cards,Wir spielen jeden Freitag Karten.,We play cards every Friday.
e09-l1,das Fell,fur,Das Fell des Hundes ist sehr weich.,The dog's fur is very soft.
e09-l1,sensibel,sensitive,Er ist sehr sensibel.,He is very sensitive.
e09-l1,dabei sein,to be present; to take part in something,Seid ihr dabei?," ""Are you taking part?"""
e09-l1,die Kraft,force; power; energy,Mit aller Kraft.," ""With all your strength."""
e09-l1,verabredet sein,to have an appointment or date,Ich bin mit Dario verabredet.," ""I have a date with Dario."""
e09-l1,klingeln,to ring,Das Telefon klingelt.,The phone is ringing.
e09-l1,jemanden über den Tisch ziehen,to rip someone off; to cheat someone,jemanden über den Tisch ziehen“," ""to rip someone off"""
e09-l1,alles unter einen Hut bringen,to reconcile or juggle a number of things,Also: „alles unter einen Hut bringen“.," ""So: \""to reconcile or juggle a number of things\""."""
